onet_soc_code,synonyms,tasks
15-2031.00,"Analytical Strategist, Operations Research Analyst (Ops Research Analyst), Operations Research Scientist (Ops Research Scientist), Researcher","Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation."
33-9092.00,"Lifeguard, Ocean Lifeguard, Pool Attendant, Ski Patroller","Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants."
11-3031.03,"Fixed Income Portfolio Manager, Fixed Income Vice President (Fixed Income VP), Investment Analysis Vice President (Investment Analysis VP), Portfolio Manager","Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."
51-4192.00,"Layout Inspector, Layout Man, Layout Technician (Layout Tech), Layout Worker","Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters."
17-2072.00,"Design Engineer, Integrated Circuit Design Engineer (IC Design Engineer), Product Engineer, Test Engineer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls."
51-8093.00,"Gauger, Operator, Pumper, Refinery Operator","Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines."
25-1081.00,"Assistant Professor, Associate Professor, Education Professor, Professor","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
39-2011.00,"Dog Trainer, Guide Dog Mobility Instructor (GDMI), Horse Trainer, Trainer","Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team."
27-2021.00,"Baseball Player, Golf Professional, Hockey Player, Race Car Driver",Compete in athletic events.
33-9021.00,"Investigator, Loss Prevention Detective, Loss Prevention Officer, Private Investigator","Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment."
53-2012.00,"Captain, Commercial Pilot, Helicopter Pilot, Pilot","Pilot and navigate the flight of fixed-wing aircraft on nonscheduled air carrier routes, or helicopters. Requires Commercial Pilot certificate. Includes charter pilots with similar certification, and air ambulance and air tour pilots. Excludes regional, national, and international airline pilots."
49-3053.00,"Mechanic, Outdoor Power Equipment Service Technician, Service Technician (Service Tech), Small Engine Mechanic","Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment, and related equipment."
21-1012.00,"Academic Advisor, Career Counselor, Guidance Counselor, School Counselor",Advise and assist students and provide educational and vocational guidance services.
49-9012.00,"Instrument and Electrical Technician (I and E Technician), Measurement Technician, Meter Technician, Valve Technician","Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors."
29-1217.00,"Adult and Pediatric Neurologist, Neurologist, Pediatric Neurologist, Physician","Diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus."
51-3093.00,"Fryer Operator, Kettle Fry Cook Operator, Machine Operator, Retort Operator","Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products."
27-1012.00,"Artist, Designer, Furniture Maker, Glass Artist","Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
47-5043.00,"Bolter, Roof Bolter, Roof Bolter Operator, Underground Roof Bolter",Operate machinery to install roof support bolts in underground mine.
27-2042.00,"Choir Member, Musician, Singer, Violinist","Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording."
25-2055.00,"Emotional Disabilities Teacher, Learning Support Teacher, Resource Program Teacher, Special Education Inclusion Teacher","Teach academic, social, and life skills to kindergarten students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities."
